城市代码	城市	上级代码	简称	级别	区电话	邮编	拼音
150525	奈曼旗	150500	奈曼旗	3	0475	028300	Naimanqi	
150526	扎鲁特旗	150500	扎鲁特旗	3	0475	029100	Zhaluteqi	
150581	霍林郭勒市	150500	霍林郭勒	3	0475	029200	Huolinguole	
150600	鄂尔多斯市	150000	鄂尔多斯	2	0477	017004	Ordos	
150602	东胜区	150600	东胜	3	0477	017000	Dongsheng	
150621	达拉特旗	150600	达拉特旗	3	0477	014300	Dalateqi	
150622	准格尔旗	150600	准格尔旗	3	0477	017100	Zhungeerqi	
150623	鄂托克前旗	150600	鄂托克前旗	3	0477	016200	Etuokeqianqi	
150624	鄂托克旗	150600	鄂托克旗	3	0477	016100	Etuokeqi	
150625	杭锦旗	150600	杭锦旗	3	0477	017400	Hangjinqi	
150626	乌审旗	150600	乌审旗	3	0477	017300	Wushenqi	
150627	伊金霍洛旗	150600	伊金霍洛旗	3	0477	017200	Yijinhuoluoqi	
150700	呼伦贝尔市	150000	呼伦贝尔	2	0470	021008	Hulunber	
150702	海拉尔区	150700	海拉尔	3	0470	021000	Hailaer	
150703	扎赉诺尔区	150700	扎赉诺尔	3	0470	021410	Zhalainuoer	
150721	阿荣旗	150700	阿荣旗	3	0470	162750	Arongqi	
150722	莫力达瓦达斡尔族	150700	莫旗	3	0470	162850	Moqi	
150723	鄂伦春自治旗	150700	鄂伦春	3	0470	165450	Elunchun	
150724	鄂温克族自治旗	150700	鄂温	3	0470	021100	Ewen	
150725	陈巴尔虎旗	150700	陈巴尔虎旗	3	0470	021500	Chenbaerhuqi	
150726	新巴尔虎左旗	150700	新巴尔虎左旗	3	0470	021200	Xinbaerhuzuoqi	
150727	新巴尔虎右旗	150700	新巴尔虎右旗	3	0470	021300	Xinbaerhuyouqi	
150781	满洲里市	150700	满洲里	3	0470	021400	Manzhouli	
150782	牙克石市	150700	牙克石	3	0470	022150	Yakeshi	
150783	扎兰屯市	150700	扎兰屯	3	0470	162650	Zhalantun	
150784	额尔古纳市	150700	额尔古纳	3	0470	022250	Eerguna	
150785	根河市	150700	根河	3	0470	022350	Genhe	
150800	巴彦淖尔市	150000	巴彦淖尔	2	0478	015001	Bayan Nur	
150802	临河区	150800	临河	3	0478	015001	Linhe	
150821	五原县	150800	五原	3	0478	015100	Wuyuan	
150822	磴口县	150800	磴口	3	0478	015200	Dengkou	
150823	乌拉特前旗	150800	乌拉特前旗	3	0478	014400	Wulateqianqi	
